response.time.s,throughput,mips
0.30,7.10,23.45
0.48,16.00,33.20
3.32,1.40,0.42
0.13,12.00,95.11
0.11,1.90,17.76
0.11,1.70,15.80
0.26,1.30,5.10
0.14,2.80,20.48
0.10,15.30,149.09
0.09,13.50,144.59
0.13,7.70,57.89
0.22,10.90,49.21
0.11,16.10,141.23
0.27,4.50,16.68
0.13,12.20,91.00
0.07,6.00,88.89
0.13,2.30,17.48
0.21,1.60,7.50
1.36,10.40,7.65
0.11,0.70,6.48
0.05,13.30,266.00
1.07,3.00,2.81
0.13,14.30,108.33
0.27,10.20,38.48
0.12,2.10,16.91
0.41,5.00,12.25
0.26,1.20,4.63
0.41,15.20,37.25
0.17,3.80,21.97
0.32,1.20,3.74
0.13,12.40,96.64
0.15,1.10,7.35
0.67,7.90,11.75
0.06,8.80,147.70
0.50,19.70,39.48
1.33,8.30,6.22
0.23,10.10,43.96
0.27,0.90,3.37
0.05,10.60,214.44
0.06,4.30,66.19
0.11,16.20,151.76
0.58,4.40,7.58
0.20,1.40,6.83
0.29,14.50,49.24
0.11,1.70,15.01
0.07,4.40,63.85
0.18,2.70,14.62
0.13,4.80,36.57
0.14,4.40,30.88
0.14,7.50,52.90
0.27,3.90,14.49
0.23,21.20,93.39
0.51,4.70,9.19
0.17,0.50,2.89
0.65,8.00,12.40
0.30,7.90,26.32
1.03,8.40,8.12
0.52,9.20,17.86
0.43,3.30,7.67
0.21,3.50,17.05
0.26,6.90,26.29
0.45,1.80,3.99
0.21,13.50,65.22
0.12,12.90,112.17
0.18,12.10,65.76
0.12,1.20,10.06
0.17,1.20,7.20
0.24,7.70,31.88
0.30,1.20,3.98
0.30,1.40,4.66
0.23,14.50,63.71
0.62,7.10,11.49
0.15,6.90,45.60
0.12,22.30,193.91
0.04,13.10,308.24
0.18,1.10,6.15
0.18,2.60,14.50
3.61,1.40,0.39
0.12,14.60,118.70
0.20,15.10,76.07
0.27,1.50,5.65
0.13,7.80,59.85
0.10,36.30,363.00
0.20,9.70,49.49
0.05,20.30,429.45
0.43,9.40,21.79
0.04,3.60,83.72
0.22,15.90,73.75
0.27,2.70,9.96
0.22,3.60,16.71
0.11,31.30,292.52
0.12,3.90,31.97
0.31,2.10,6.82
0.50,4.80,9.63
0.28,3.30,11.63
0.14,3.10,22.64
0.21,15.70,74.76
0.09,24.70,269.06
1.31,3.50,2.66
0.33,4.40,13.15
0.15,10.20,69.82
0.27,1.40,5.25
0.31,12.20,39.95
2.56,1.20,0.47
0.39,2.00,5.15
0.24,9.00,37.60
0.15,23.90,155.19
0.30,1.90,6.39
0.54,4.40,8.11
0.08,1.70,20.40
0.33,5.90,17.76
0.24,7.70,32.19
0.40,8.10,20.17
0.11,17.90,157.02
0.32,12.30,38.39
0.22,3.90,17.49
2.12,8.80,4.15
0.24,1.20,4.99
0.53,5.50,10.32
0.29,4.40,15.16
0.23,2.10,9.01
0.11,19.30,176.09
1.02,3.10,3.03
0.20,0.80,4.06
0.33,14.90,44.74
0.50,0.80,1.61
0.24,8.80,36.81
2.44,1.10,0.45
0.20,1.20,5.91
0.26,0.90,3.45
0.15,2.30,15.48
0.31,7.00,22.49
0.12,22.80,198.26
0.18,14.60,81.11
4.21,1.10,0.26
0.14,3.80,27.80
0.29,2.50,8.52
0.16,9.10,56.09
0.69,1.10,1.60
0.12,24.20,201.67
0.49,4.10,8.36
1.04,12.80,12.30
0.34,3.60,10.73
0.38,2.10,5.48
0.51,13.90,27.25
0.32,1.00,3.16
0.27,19.10,70.61
0.46,3.60,7.75
0.25,2.00,7.99
0.41,0.40,0.97
0.17,18.60,108.77
0.12,28.00,243.48
0.39,1.00,2.57
0.72,4.70,6.48
0.10,15.60,149.28
0.29,16.60,56.85
0.14,22.30,154.33
0.19,3.40,17.56
1.42,2.20,1.55
0.04,13.20,310.59
0.57,8.30,14.55
0.50,2.20,4.39
0.14,21.40,157.35
0.32,23.10,71.30
1.32,1.20,0.91
0.28,3.10,10.89
3.48,5.80,1.66
0.12,2.90,24.37
0.11,1.00,8.79
0.06,18.10,283.70
0.18,13.50,75.00
1.30,6.90,5.32
0.35,21.50,61.08
0.12,17.40,139.20
1.99,1.90,0.96
0.72,13.10,18.09
0.59,1.00,1.71
0.47,0.50,1.06
0.23,0.90,3.96
0.25,5.30,21.00
0.55,1.80,3.26
0.06,16.00,275.86
0.72,3.30,4.60
0.07,15.50,230.48
0.13,20.50,157.52
0.20,1.90,9.29
0.34,11.70,34.51
0.31,13.50,44.15
0.06,9.00,160.71
0.10,19.80,198.00
0.79,2.20,2.79
0.32,4.10,12.63
0.15,11.20,74.83
0.42,6.50,15.59
0.06,9.10,151.54
0.14,15.70,109.54
0.50,4.80,9.57
0.27,4.30,15.66
0.12,12.90,111.21
0.67,2.10,3.15
0.16,33.20,203.68
0.15,17.60,120.14
0.13,23.10,181.89
0.13,15.40,114.86
0.60,3.70,6.19
0.18,11.60,63.62
0.12,9.60,78.90
0.22,0.90,4.11
0.17,4.30,24.57
0.14,2.40,17.69
0.33,1.50,4.49
0.05,1.80,34.95
0.21,1.10,5.31
4.48,1.00,0.22
0.15,14.40,93.51
0.12,15.60,125.89
0.67,1.30,1.94
0.24,25.60,105.35
0.13,9.50,75.00
0.11,14.20,124.02
0.07,6.80,103.98
0.20,9.80,50.00
0.15,10.80,72.51
0.17,9.60,57.61
0.31,12.70,41.40
0.22,0.70,3.13
0.23,7.40,32.20
0.22,10.40,47.49
0.24,6.40,27.04
0.46,2.60,5.65
0.25,1.10,4.42
0.22,1.30,5.89
0.24,1.10,4.54
0.26,3.40,13.20
0.17,3.10,18.24
0.09,20.50,235.25
0.22,16.40,74.89
0.12,14.50,118.85
0.23,14.10,61.68
0.19,8.10,43.14
0.18,7.90,42.76
1.10,3.10,2.81
0.28,1.60,5.80
0.32,2.00,6.32
0.06,25.60,404.74
0.14,18.00,128.11
0.17,16.10,96.12
0.29,5.50,19.15
0.24,26.70,109.43
1.14,4.70,4.13
0.15,14.00,90.91
1.23,6.30,5.14
0.06,19.10,344.14
0.29,3.50,12.19
0.28,20.30,71.73
0.83,5.90,7.14
0.34,8.90,26.52
0.22,3.90,17.41
0.58,15.60,26.85
0.13,10.80,82.60
0.20,22.10,108.87
0.27,1.90,6.97
0.33,3.00,8.99
0.12,7.90,65.29
0.10,18.60,182.35
0.33,8.60,26.05
0.08,17.10,219.51
0.11,0.80,7.21
0.21,2.30,10.72
0.46,2.00,4.31
0.85,14.70,17.21
0.54,3.70,6.85
0.91,1.60,1.77
0.16,5.80,36.52
0.11,11.40,103.87
0.66,11.40,17.17
1.53,5.30,3.47
0.10,16.30,171.13
0.15,2.10,14.30
0.38,5.70,14.89
0.32,9.00,27.92
0.60,10.30,17.20
0.24,1.40,5.95
2.84,2.40,0.85
0.20,9.70,48.02
0.07,1.20,16.72
0.31,3.00,9.62
0.25,1.40,5.64
0.30,7.70,25.77
0.47,5.80,12.21
0.14,6.30,44.37
0.26,5.30,20.19
0.44,10.10,22.80
0.26,8.10,31.75
0.25,1.20,4.88
0.41,1.70,4.15
1.73,2.00,1.16
0.24,4.00,16.96
0.29,27.80,94.88
0.37,4.70,12.63
0.10,23.50,224.88
0.31,8.00,26.20
0.14,21.40,154.51
0.23,15.70,69.16
0.19,26.50,140.21
0.13,31.40,249.21
0.08,13.60,168.84
0.21,14.30,67.77
0.22,15.60,70.78
0.30,21.70,71.15
1.24,3.60,2.91
0.24,3.80,15.97
0.20,0.80,4.10
0.12,17.90,155.65
0.45,4.20,9.39
0.37,4.40,11.98
0.79,4.80,6.10
0.29,0.40,1.38
0.22,14.20,64.49
0.13,4.10,32.09
0.23,19.60,84.85
0.62,8.50,13.70
0.16,13.90,87.84
0.45,8.80,19.76
1.26,2.20,1.75
0.54,21.60,39.93
0.27,1.10,4.13
0.15,24.00,158.94
0.12,10.10,87.52
1.83,3.30,1.80
0.30,4.00,13.53
0.34,10.30,29.86
0.22,1.00,4.49
0.14,1.50,11.09
0.16,16.40,104.13
0.45,6.20,13.89
0.28,4.00,14.55
0.17,2.60,15.23
0.33,4.10,12.48
0.41,4.20,10.32
0.31,12.90,41.88
0.28,4.40,15.61
0.37,12.20,33.15
0.41,6.10,14.80
0.40,1.50,3.75
0.28,23.60,85.82
0.12,20.00,170.94
0.10,1.70,17.30
0.35,21.30,61.03
0.49,2.20,4.52
0.21,1.30,6.10
0.13,24.50,188.46
0.21,14.20,68.07
0.12,3.60,29.05
0.52,6.30,12.17
0.65,3.70,5.65
0.21,8.30,39.43
0.08,18.90,230.49
0.24,7.40,31.03
0.32,19.60,60.87
0.10,20.00,193.70
0.24,7.10,29.83
0.18,17.20,97.18
0.26,15.50,59.62
0.18,20.40,112.09
0.18,6.40,36.45
0.23,1.60,6.87
0.05,8.60,169.46
0.15,24.20,159.21
0.33,8.10,24.90
1.43,3.90,2.74
0.20,1.90,9.32
0.15,13.30,88.96
4.64,0.50,0.11
0.44,1.30,2.95
0.99,4.60,4.63
0.15,21.30,137.42
0.14,2.40,17.43
0.43,3.00,6.90
0.37,1.00,2.67
1.34,10.00,7.45
0.15,13.60,89.94
0.25,3.00,12.17
0.13,15.50,119.23
0.32,16.00,49.38
0.19,11.30,60.75
2.91,1.30,0.45
0.33,23.20,70.09
0.38,11.20,29.87
0.49,9.60,19.77
0.17,11.50,66.47
0.73,4.40,6.00
0.22,4.30,19.46
0.10,1.70,17.47
0.18,13.20,73.95
0.32,13.60,43.11
0.28,9.20,33.00
0.29,5.90,20.43
0.10,0.80,8.08
0.36,5.00,13.92
1.19,7.20,6.05
0.43,4.20,9.83
0.21,8.30,38.82
0.52,22.50,42.94
0.15,33.90,227.52
0.10,17.30,169.61
0.15,13.70,92.72
0.05,15.00,302.85
0.50,6.30,12.63
0.25,0.90,3.58
0.39,6.00,15.52
0.20,1.00,5.05
0.18,9.40,50.95
0.08,23.40,307.89
3.70,1.10,0.30
0.22,7.50,34.72
0.20,1.40,7.04
0.31,5.50,17.97
2.94,2.90,0.99
1.78,1.90,1.07
0.11,15.00,135.14
1.02,4.50,4.41
0.56,5.60,10.09
0.15,16.20,107.64
0.35,3.50,9.89
0.08,18.20,241.96
0.10,3.90,40.34
0.48,14.20,29.77
0.04,14.10,331.76
0.12,8.80,76.52
0.07,7.60,107.25
0.32,12.10,38.17
0.14,16.40,117.14
0.22,2.20,9.85
0.12,10.00,82.42
0.13,31.50,250.00
1.24,3.40,2.75
0.11,9.30,87.80
0.35,9.10,26.07
0.18,9.70,54.37
0.21,8.80,42.51
0.30,28.00,93.33
0.16,22.90,145.86
0.32,3.70,11.51
0.20,1.20,6.00
0.16,13.00,80.25
0.07,33.40,506.06
0.12,34.30,281.15
0.09,31.10,345.56
0.17,8.10,47.72
0.31,5.90,18.75
0.21,10.90,51.60
0.08,19.00,228.92
0.29,9.40,32.87
0.12,13.90,114.44
0.20,34.70,177.95
0.23,3.50,14.90
3.15,2.90,0.92
0.18,5.50,31.31
0.34,24.40,70.72
0.19,3.00,15.83
0.10,31.10,314.14
0.19,25.00,134.41
0.13,13.90,104.38
0.15,4.90,32.24
0.54,15.80,29.37
0.20,2.20,11.03
0.29,12.90,43.91
0.41,11.40,27.57
0.31,6.70,21.33
0.10,19.40,185.20
0.23,14.00,62.17
0.44,13.20,29.73
0.25,8.70,34.93
0.26,5.40,20.68
2.78,1.50,0.54
0.28,7.20,26.13
3.01,2.30,0.76
0.15,14.20,96.93
0.16,1.80,11.04
0.33,15.60,47.27
0.19,1.60,8.29
0.21,14.60,68.10
0.12,9.40,75.20
0.33,6.00,18.19
3.17,3.70,1.17
0.22,1.80,8.31
0.12,18.70,162.05
0.34,10.50,31.07
0.83,2.00,2.41
0.09,11.90,128.65
0.12,2.40,20.32
0.20,7.30,36.65
0.16,3.50,22.03
0.39,3.60,9.32
0.17,15.40,92.22
0.40,2.80,7.03
0.27,13.00,47.51
0.19,3.70,19.47
1.20,12.00,9.99
0.67,2.60,3.89
0.15,11.80,81.24
0.21,11.30,54.20
0.31,1.40,4.58
0.10,0.70,7.07
0.54,4.00,7.41
0.93,5.30,5.71
0.40,4.10,10.22
0.22,14.80,66.07
0.42,1.70,4.00
0.16,12.50,75.99
0.29,9.30,31.85
0.73,15.20,20.85
0.12,16.00,130.16
0.25,10.60,41.90
0.28,1.00,3.60
0.08,8.50,104.94
0.38,2.30,6.06
0.17,4.20,24.67
0.08,32.00,405.06
0.11,16.20,141.70
0.40,6.90,17.13
0.13,21.70,168.87
0.08,15.20,183.13
0.04,24.00,585.37
0.73,3.50,4.82
0.14,5.90,43.26
0.07,4.40,64.17
0.22,9.50,43.68
0.60,10.70,17.73
0.14,2.40,17.42
0.15,24.20,162.42
0.64,4.40,6.86
0.07,5.10,75.00
0.33,21.90,65.77
0.20,9.80,47.80
0.12,7.20,58.32
0.10,18.90,192.07
0.29,12.00,41.81
0.23,23.50,100.00
0.13,22.50,167.91
0.35,12.00,34.24
0.21,1.40,6.54
0.19,14.90,78.63
0.46,6.70,14.53
0.21,24.60,116.59
0.12,10.40,84.55
0.23,7.10,31.20
0.13,15.70,123.79
0.26,4.20,16.00
0.07,8.00,115.94
0.19,24.00,125.00
0.22,5.20,24.02
0.25,6.50,26.23
0.29,6.90,23.99
0.15,8.60,55.81
0.51,1.40,2.72
0.22,6.80,30.63
0.16,17.60,109.32
0.12,23.30,199.15
0.13,3.60,28.51
0.10,22.50,222.77
0.29,1.90,6.53
0.21,9.20,43.60
0.17,9.70,56.21
0.14,1.70,12.31
0.21,7.10,34.58
0.17,5.80,34.81
0.47,4.50,9.57
0.29,2.10,7.27
0.08,2.00,24.69
0.40,3.40,8.41
0.23,22.90,101.78
0.26,13.50,51.80
0.14,33.00,239.13
0.09,13.40,143.62
0.23,13.90,60.70
0.15,4.50,29.51
0.26,1.40,5.48
0.27,21.50,79.93
0.36,0.90,2.52
0.23,10.10,44.79
0.11,10.90,103.04
0.14,17.90,130.66
0.25,3.10,12.50
0.46,4.90,10.75
0.41,6.20,15.08
0.27,14.00,51.09
0.20,1.60,7.93
0.85,3.50,4.13
1.16,13.40,11.51
0.43,1.40,3.27
3.34,5.50,1.65
1.10,10.60,9.65
0.32,1.10,3.44
0.49,5.10,10.43
0.08,5.30,66.99
0.25,1.60,6.29
0.41,18.10,44.25
0.20,1.00,4.94
0.29,1.30,4.52
0.09,19.70,226.80
0.29,3.00,10.30
0.14,21.60,157.66
1.39,3.40,2.44
0.31,9.30,30.15
3.16,1.30,0.41
0.31,6.00,19.17
0.27,1.80,6.57
0.31,5.40,17.20
0.14,20.80,146.48
0.12,16.90,136.48
0.19,1.40,7.33
0.09,40.40,453.93
0.11,24.00,218.18
0.18,2.80,15.64
0.21,25.20,120.00
0.44,1.30,2.98
0.73,3.40,4.66
0.17,25.70,154.82
1.70,9.00,5.28
0.16,14.00,86.96
0.17,29.50,171.51
0.37,10.90,29.42
0.12,5.40,44.69
0.14,13.40,97.28
0.10,7.30,75.26
0.19,27.60,146.03
0.41,10.90,26.61
0.22,15.10,69.46
0.06,16.10,261.79
0.08,22.70,275.99
0.84,5.40,6.46
0.56,6.40,11.40
0.20,1.10,5.57
0.23,7.90,34.96
0.27,4.70,17.51
0.13,2.30,17.51
0.13,10.70,82.95
0.08,35.60,439.51
0.15,14.90,96.75
0.14,11.20,77.96
0.27,2.10,7.73
0.15,16.60,112.67
0.33,14.30,42.81
0.17,24.60,148.19
0.16,10.40,65.82
0.18,10.50,58.50
0.12,18.60,160.34
0.68,12.10,17.87
0.17,24.10,139.31
0.12,8.90,71.97
0.18,5.20,29.21
0.06,5.10,79.90
0.87,3.40,3.89
0.48,18.50,38.46
0.17,7.20,42.35
0.19,10.50,54.12
1.38,8.20,5.96
0.30,2.90,9.65
0.15,12.70,82.74
0.26,1.20,4.71
0.13,2.40,18.43
0.06,13.10,217.68
0.14,6.20,43.61
0.14,2.50,18.14
0.21,1.10,5.29
0.11,13.20,119.16
1.08,5.80,5.38
0.24,20.70,87.34
1.94,6.90,3.56
0.29,6.90,23.96
0.41,19.10,46.93
0.46,2.20,4.74
0.45,12.10,27.19
0.48,5.90,12.18
3.28,1.60,0.49
0.66,13.60,20.48
0.28,1.30,4.61
0.93,3.90,4.18
0.11,5.50,48.59
0.09,17.20,187.98
0.39,6.00,15.53
0.51,6.10,12.08
0.32,7.20,22.76
0.22,2.80,12.79
0.09,9.20,107.92
0.46,9.50,20.70
3.63,1.30,0.36
0.21,17.80,83.18
0.17,6.40,37.78
0.21,4.30,20.44
0.17,28.10,169.28
0.15,7.80,52.68
0.18,15.70,86.26
0.13,1.90,15.08
0.18,4.70,26.78
0.25,1.70,6.68
0.24,14.30,60.13
0.62,8.30,13.36
0.13,21.70,165.97
0.16,16.20,99.39
0.11,4.10,36.34
0.10,4.70,45.34
0.31,3.10,9.92
0.22,11.90,53.24
0.13,12.20,96.63
0.10,13.70,143.64
0.12,12.80,107.79
0.29,13.00,44.13
0.28,4.80,17.11
0.11,15.10,140.69
0.08,1.80,21.77
0.23,11.90,51.83
0.35,2.70,7.61
0.15,12.20,80.79
0.27,1.20,4.47
0.30,6.50,21.96
0.21,1.60,7.44
0.28,6.10,21.94
0.32,23.30,72.81
0.13,14.10,111.71
0.28,3.80,13.77
0.26,13.40,51.58
1.35,4.00,2.97
0.15,28.40,188.08
0.10,18.50,177.88
0.13,14.30,107.74
2.14,3.70,1.73
4.65,0.90,0.19
0.23,15.00,66.08
0.35,7.50,21.41
0.19,9.60,50.23
0.08,13.30,166.98
0.17,13.70,78.66
1.76,2.40,1.36
0.11,27.60,257.94
0.10,17.10,164.42
0.21,14.70,69.54
0.21,2.30,10.94
0.13,7.20,57.05
0.11,29.00,261.26
0.07,10.10,139.79
0.12,24.60,213.91
0.41,6.50,16.05
0.49,18.00,36.36
0.86,6.20,7.19
0.24,6.90,28.28
0.16,17.20,107.17
0.13,4.50,35.07
0.15,11.10,74.75
3.35,5.60,1.67
3.06,2.40,0.79
0.13,9.40,72.17
0.18,11.00,59.97
0.17,24.60,147.31
0.33,20.40,61.63
0.14,4.20,29.86
0.42,6.00,14.41
0.07,21.40,310.91
0.87,4.00,4.61
0.43,1.00,2.33
0.84,5.70,6.81
0.15,8.70,57.33
0.21,1.60,7.54
0.15,5.60,36.99
0.28,12.10,43.87
0.15,28.10,181.29
0.26,3.20,12.40
0.42,5.10,12.25
0.21,6.10,29.58
0.20,28.60,145.18
0.17,5.00,29.67
0.28,6.10,21.68
0.30,12.50,41.34
0.12,15.90,128.54
0.07,36.10,546.97
0.11,13.80,124.32
0.95,6.00,6.34
0.15,3.20,22.01
0.44,6.60,14.88
0.17,5.10,29.48
0.19,10.50,56.45
2.46,2.00,0.81
0.99,2.80,2.82
0.35,1.40,4.00
0.10,36.60,355.34
0.14,29.30,206.34
0.21,4.00,18.91
0.21,15.40,71.69
0.24,13.70,56.38
0.64,0.30,0.47
1.43,7.90,5.53
0.11,9.20,80.88
0.14,1.90,13.48
0.20,1.10,5.59
0.32,7.70,24.25
0.15,10.10,65.67
0.44,16.50,37.59
0.11,1.60,14.46
0.32,23.80,75.08
0.84,5.70,6.76
0.13,15.90,118.22
0.24,9.30,38.08
0.29,6.50,22.24
0.15,6.50,43.22
0.26,5.10,19.89
0.28,8.20,29.25
0.31,23.50,76.05
0.16,12.50,80.13
0.35,2.30,6.61
0.37,2.90,7.84
0.57,3.50,6.10
0.22,2.00,9.14
1.56,2.60,1.67
0.17,5.70,33.88
0.53,10.70,20.02
0.08,9.20,119.48
0.13,1.80,14.00
0.14,10.70,73.92
0.39,5.60,14.27
0.27,1.60,5.82
0.10,17.90,177.23
0.32,14.60,44.99
0.16,1.50,9.54
0.11,5.70,50.30
0.13,14.00,106.75
0.22,9.20,41.49
0.27,4.70,17.50
0.17,6.60,38.46
